Gene	Tissue	NPat	KnownDriver	Mode	AllDriver	MutSigCV	OncodriveFM	OncodriveCLUST	NMC	MutSig.CL	e.Driver	e.Driver3D	iPAC	GraphPAC	SpacePAC	CLUMPS	iSIMPRe	ActiveDriver	Hotspot	LowMACA	Detected
CLIP1	luad	23	No	Unk	Other somatic drivers in other tissues	0.7088963	1	1	1	0.837	1	1	1	1	1	1	1	0.0231935275452306	1	1	1
STAT5B	luad	8	No	Unk	Missense somatic drivers in other tissues	1	1	1	1	0.335	1	1	1	1	1	1	1	0.0138117309212395	1	1	1
HOXA11	luad	7	No	OG	Other somatic drivers in other tissues	1	1	0.0107520760273	1	0.059	1	1	1	1	1	1	1	1	1	1	1
CXCR4	luad	6	No	OG	Missense somatic drivers in other tissues	0.2908155	0.166614783236358	1	1	0.0252	1	1	1	1	1	1	1	1	1	1	1
DAXX	luad	14	No	OG/TSG	Missense somatic drivers in other tissues	0.5621551	1	1	1	0.0135	1	1	1	1	1	1	1	0.0201396682558617	1	1	2
CCNE1	luad	6	No	OG	Other somatic drivers in other tissues	0.7002152	1	0.00731990423431	1	0.696	1	1	1	1	1	1	1	0.173106002126807	1	1	1
STAT3	luad	12	No	OG	Missense somatic drivers in other tissues	0.3307315	1	1	1	0.678	1	1	1	1	1	0.767915	1	0.0188789006108869	1	1	1
GNAS	luad	20	No	Unk	Missense somatic drivers in other tissues	0.9131613	0.655131987540666	0.0437442670555	1	0.328	1	0.189810976805691	1	1	1	0.93069	1	1	1	1	1
FLT4	luad	20	No	Unk	Other somatic drivers in other tissues	1	0.584355810541378	0.163491938762	1	0.155	1	1	0.004926108	0.004926108	0.003	0.734576	1	0.0455055750851231	1	1	4
SND1	luad	30	No	Unk	Other somatic drivers in other tissues	0.2549978	0.483562991788139	0.242974966049	1	0.555	1	1	1	1	1	0.878345	1	0.00426626211005434	1	1	1
EXT2	luad	10	No	Unk	Other germline drivers in other tissues	0.7945208	0.326943104005763	0.0243861048848	1	0.0634	1	1	1	1	1	1	1	1	1	1	1
SPEN	luad	32	No	Unk	Missense somatic drivers in other tissues	1	1	1	1	0.504	1	1	1	1	1	1	1	0.00254254787883069	1	1	1
MYCN	luad	6	No	OG	Other somatic drivers in other tissues	1	1	1	1	0.983	1	1	1	1	1	1	1	0.0150379099134127	1	1	1
CDK4	luad	9	No	OG	Other germline drivers in other tissues	0.7251908	1	1	7.602956e-05	0.00144	1	1	0.0009329598	8.241969e-05	5e-04	1	1	0.00214469602852079	1	1	6
PPFIBP1	luad	11	No	Unk	Other somatic drivers in other tissues	1	1	1	1	0.676	0.743143595311156	1	1	1	1	1	1	0.0135000873117774	1	1	1
ERBB2	luad	14	No	OG	Missense somatic drivers in other tissues	0.3509057	1	0.0107520760273	1	0.396	1	1	0.003389831	0.003389831	0.001	1	0.003175	1	1	1	5
PMS1	luad	15	No	Unk	Other germline drivers in other tissues	0.08671488	0.45243801643835	1	1	0.281	1	1	1	1	1	1	1	0.0411904044319563	1	1	1
CDC73	luad	12	No	TSG	Missense somatic drivers in other tissues	1	0.31276476089823	1	1	0.0199	1	1	1	1	1	1	1	0.1019812843656	1	1	1
MAP3K13	luad	12	No	Unk	Other somatic drivers in other tissues	1	1	1	1	0.193	1	1	1	1	1	1	1	1	1	1.078021e-05	1
MN1	luad	20	No	Unk	Other somatic drivers in other tissues	1	0.210347188526942	1	0.0001583772	0.62	1	1	1	1	1	1	0.008333	0.0858362697284978	1	1	2
FGFR1	luad	5	No	Unk	Other somatic drivers in other tissues	1	1	1	1	0.571	1	1	1	1	1	1	1	0.00252333692161641	1	1.065926e-05	2
KLF4	luad	9	No	OG/TSG	Missense somatic drivers in other tissues	0.2681724	0.751097668577563	1	1	0.019	0.661938415232441	1	1	1	1	0.724814	1	1	1	1	1
ETV6	luad	5	No	Unk	Other somatic drivers in other tissues	1	0.338278541404223	1	1	0.00171	1	1	1	1	1	1	1	1	1	1	1
MLLT10	luad	18	No	Unk	Other somatic drivers in other tissues	0.3909116	0.95787987556694	1	1	0.717	1	1	1	1	1	1	1	0.00731754423152519	1	1	1
PTCH1	luad	16	No	Unk	Missense somatic drivers in other tissues	0.7044549	1	1	1	0.0386	1	1	1	1	1	1	1	1	1	1	1
SDHA	luad	9	No	TSG	Missense somatic drivers in other tissues	0.9290726	1	0.137798603258	1	0.0521	1	1	0.001272302	1	0.064	0.816222	1	1	1	1	1
CCNB1IP1	luad	5	No	TSG	Other somatic drivers in other tissues	1	1	0.0107520760273	1	0.359	1	1	1	1	1	1	1	1	1	1	1
